RECYCLE BIN QUARANTINE LEDGER 20260510
Protected active source: C:\Users\13527\Desktop\Clean Milk not-BLOAT
Quarantine root: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510
Recovery method: Shell namespace CopyHere into one numbered quarantine folder per visible Recycle Bin item; no original-path restore.
Started: 2026-05-10 14:25:08 -04:00
Visible Recycle Bin items attempted: 127

ITEM 0001 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=874 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0001__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0058 | name=EVIDENCE_ARCHIVE_MANIFEST (1).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=1.42 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0058__EVIDENCE_ARCHIVE_MANIFEST_(1).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0059 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:52 AM | size=26.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0059__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0060 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=202 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0060__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0061 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=65.6 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0061__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0062 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:33 AM | size=146 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0062__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0063 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=101 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0063__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0064 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:16 AM | size=16.1 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0064__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0065 | name=PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=2.23 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0065__PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0066 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=154 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0066__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0067 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=154 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0067__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0068 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:52 AM | size=107 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0068__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0069 | name=PATCH_RECEIPT_POINT_CHECK_REPAIR_AND_METHOD_EVIDENCE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=4.82 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0069__PATCH_RECEIPT_POINT_CHECK_REPAIR_AND_METHOD_EVIDENCE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0070 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎4:51 PM | size=47.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0070__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0071 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=169 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0071__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0072 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:52 AM | size=134 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0072__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0073 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=49.5 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0073__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0074 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=101 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0074__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0075 | name=CLEAN_MILK_NOT_BLOAT_FOLDER_PROOF.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=39.7 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0075__CLEAN_MILK_NOT_BLOAT_FOLDER_PROOF.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0076 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:16 AM | size=93.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0076__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0077 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=874 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0077__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0078 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:54 AM | size=19.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0078__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0079 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=212 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0079__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0080 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎6:06 AM | size=15.0 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0080__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0081 | name=README_START_HERE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:10 AM | size=21.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0081__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0082 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎8:36 AM | size=146 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0082__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0083 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎5:31 AM | size=56.1 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0083__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0084 | name=lost | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=21.2 KB | type=File folder | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0084__lost | script_like=NO | folder_container=YES | recovered=YES | failure=NONE
ITEM 0085 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎4:52 PM | size=183 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0085__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0086 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎5:22 AM | size=63.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0086__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0087 | name=EVIDENCE_ARCHIVE_MANIFEST (2).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=1.42 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0087__EVIDENCE_ARCHIVE_MANIFEST_(2).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0088 | name=PATCH_RECEIPT_LOGIC_SERIOUSNESS_CALIBRATION.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=3.16 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0088__PATCH_RECEIPT_LOGIC_SERIOUSNESS_CALIBRATION.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0089 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=169 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0089__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0090 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎1:38 PM | size=139 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0090__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0091 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:24 AM | size=23.1 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0091__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0092 | name=README_START_HERE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=64.4 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0092__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0093 | name=PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=4.23 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0093__PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0094 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=212 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0094__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0095 | name=README_START_HERE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=24.6 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0095__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0096 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:57 AM | size=747 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0096__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0097 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:37 PM | size=168 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0097__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0098 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:10 AM | size=89.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0098__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0099 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:33 AM | size=119 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0099__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0100 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:54 AM | size=84.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0100__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0101 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:16 AM | size=71.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0101__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0102 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:24 AM | size=120 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0102__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0103 | name=CLEAN_SEED_WRAP_GUIDE (1).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=188 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0103__CLEAN_SEED_WRAP_GUIDE_(1).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0104 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:32 AM | size=62.0 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0104__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0105 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎4:39 AM | size=63.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0105__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0106 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:32 AM | size=207 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0106__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0107 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎6:06 AM | size=90.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0107__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0108 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:24 AM | size=120 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0108__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0109 | name=DOCTRINE_CLOSURE_AUDIT_CLEAN_JUDGMENT.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=11.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0109__DOCTRINE_CLOSURE_AUDIT_CLEAN_JUDGMENT.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0110 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=202 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0110__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0111 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:32 AM | size=172 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0111__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0112 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:55 AM | size=39.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0112__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0113 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:57 AM | size=212 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0113__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0114 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:55 AM | size=168 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0114__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0115 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:37 PM | size=39.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0115__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
